"id","name","popularity","href"
"3ZaEs1O8BG581qYPHpQ8d6",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),85,https://api.spotify.com/v1/tracks/3ZaEs1O8BG581qYPHpQ8d6
"7mXuWTczZNxG5EDcjFEuJR",LADY GAGA,85,https://api.spotify.com/v1/tracks/7mXuWTczZNxG5EDcjFEuJR
"0azC730Exh71aQlOt9Zj3y",This Is What You Came For,85,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y
"2YSzYUF3jWqb9YP9VXmpjE",IDGAF (feat. Yeat),85,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE
"5gDWsRxpJ2lZAffh5p7K0w",Stargirl Interlude,85,https://api.spotify.com/v1/tracks/5gDWsRxpJ2lZAffh5p7K0w
"2H2ytI7ompfNmRkI2sq8Uk",I LUV IT (feat. Playboi Carti),85,https://api.spotify.com/v1/tracks/2H2ytI7ompfNmRkI2sq8Uk
"0RiRZpuVRbi7oqRdSMwhQY",Sunflower - Spider-Man: Into the Spider-Verse,85,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY
"22skzmqfdWrjJylampe0kt",Can't Hold Us (feat. Ray Dalton),85,https://api.spotify.com/v1/tracks/22skzmqfdWrjJylampe0kt
"7MmG8p0F9N3C4AXdK6o6Eb",Outside (feat. Ellie Goulding),85,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb
"2bJvI42r8EF3wxjOuDav4r",Time of Our Lives,85,https://api.spotify.com/v1/tracks/2bJvI42r8EF3wxjOuDav4r
"4L1iecYPJR1qc9tz5Zjkw9",El Boss,85,https://api.spotify.com/v1/tracks/4L1iecYPJR1qc9tz5Zjkw9
"5rb9QrpfcKFHM1EUbSIurX",Yeah! (feat. Lil Jon & Ludacris),85,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX
"15JINEqzVMv3SvJTAXAKED",Love The Way You Lie,85,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED
"5wG3HvLhF6Y5KTGlK0IW3J",Trance (with Travis Scott & Young Thug),85,https://api.spotify.com/v1/tracks/5wG3HvLhF6Y5KTGlK0IW3J
"3F5CgOj3wFlRv51JsHbxhe",Jimmy Cooks (feat. 21 Savage),85,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe
"6Sq7ltF9Qa7SNFBsV5Cogx",Me Porto Bonito,85,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx
"1RMJOxR6GRPsBHL8qeC2ux",Best Part (feat. H.E.R.),85,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux
"2kQuhkFX7uSVepCD3h29g5",Smack That,85,https://api.spotify.com/v1/tracks/2kQuhkFX7uSVepCD3h29g5
"3BKD1PwArikchz2Zrlp1qi",Baby Don't Hurt Me,85,https://api.spotify.com/v1/tracks/3BKD1PwArikchz2Zrlp1qi
"32OlwWuMpZ6b0aN2RZOeMS",Uptown Funk (feat. Bruno Mars),84,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS
"1XGmzt0PVuFgQYYnV2It7A",Payphone,84,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A
"2gam98EZKrF9XuOkU13ApN",Promiscuous,84,https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN
"3QS9ZCtoSCJhmaJ7QNXSAS",act ii: date @ 8 (feat. Drake) - remix,84,https://api.spotify.com/v1/tracks/3QS9ZCtoSCJhmaJ7QNXSAS
"2bLqfJjuC5syrsgDsZfGmn",The Way I Are,84,https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn
"7AQim7LbvFVZJE3O8TYgf2",Fuck Love,84,https://api.spotify.com/v1/tracks/7AQim7LbvFVZJE3O8TYgf2
"2FDTHlrBguDzQkp7PVj16Q",Sprinter,84,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q
"0vjeOZ3Ft5jvAi9SBFJm1j",Superhero (Heroes & Villains) [with Future & Chris Brown],84,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j
